Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese
Character/IzayoiSakuya_PassiveDes,Text,,"<b>시간을 조종하는 정도의 능력</b> - 기술을 낼 때마다, 카운트다운 중인 사쿠야의 모든 기술의 카운트다운을 1 감소시킵니다. 이 효과로 카운트다운이 감소할 때마다, <color=#EEE9E9>시간 정지 비도</color> 1개를 얻습니다.

<b>위험한 마술사</b> - 사쿠야가 손의 가장 위쪽이나 가장 아래쪽에 있는 기술을 낼 때마다, <color=#00BFFF>시계 정지</color> 1층을 얻습니다. <color=#00BFFF>시계 정지</color>가 4층 쌓이면, ""시계「월시계」"" 1장을 손에 추가합니다.

<b><color=#4169E1>월마술</color></b> - 사쿠야의 일부 기술이 손의 가장 위쪽이나 가장 아래쪽에 있을 때 발동되면, 추가 효과를 발동할 수 있습니다.","<b>Ability to Manipulate Time</b> - Each time a skill is played, reduce countdown of all Sakuya's skills by 1. For each skill affected, gain 1 <color=#EEE9E9>Time-Stop Dagger</color>.

<b>Dangerous Trickster</b> - Each time Sakuya plays a skill from the top/bottom of hand, gain 1 stack of <color=#00BFFF>Time Stop</color>. At 4 stacks, add 1 [Watch ""Lunar Dial""] to hand.

<b><color=#4169E1>Lunar Magic</color></b> - Certain skills trigger additional effects when played from the top/bottom of hand.","<b>時間を操る程度の能力</b>：手札からスキルを使用するたび、カウントダウン欄にある咲夜のスキルのカウントダウンが1減少する。この効果によってカウントダウンが減少したスキル1つにつき、<color=#EEE9E9>時間停止-フライングナイフ</color>を1ストック得る。。

<b>危険な手品師</b>：手札の一番上または一番下にある咲夜のスキルを使用するたび、<color=#00BFFF>タイムストップ</color>を1ストック得る。<color=#00BFFF>タイムストップ</color>のストックが4になるたび、「時計-ルナダイアル」を手札に1枚加える。

<b><color=#4169E1>ルナマジック</color></b>：咲夜の一部のスキルは手札の一番上または一番下から使用するとき、追加効果が発動する。","<b>操纵时间程度的能力</b> - 每次打出技能时，使所有处于倒计时中的十六夜咲夜的技能倒计时减少1点。每有1个技能因这个效果减少倒计时，获得1把<color=#EEE9E9>时停飞刀</color>。

<b>危险的戏法家</b> - 咲夜每次打出位于手中最上方或最下方的技能时，获得1层<color=#00BFFF>时钟停摆</color>。<color=#00BFFF>时钟停摆</color>堆叠至4层后，将1张“时计「月时计」”加入手中。

<b><color=#4169E1>月魔术</color></b> - 咲夜的部分技能在位于手中最上方或最下方被打出时，能够触发额外效果。","<b>操纵时间程度的能力</b> - 每次打出技能时，使所有处于倒计时中的十六夜咲夜的技能倒计时减少1点。每有1个技能因这个效果减少倒计时，获得1把<color=#EEE9E9>时停飞刀</color>。

<b>危险的戏法家</b> - 咲夜每次打出位于手中最上方或最下方的技能时，获得1层<color=#00BFFF>时钟停摆</color>。<color=#00BFFF>时钟停摆</color>堆叠至4层后，将1张“时计「月时计」”加入手中。

<b><color=#4169E1>月魔术</color></b> - 咲夜的部分技能在位于手中最上方或最下方被打出时，能够触发额外效果。"
Character/IzayoiSakuya_PassiveName,Text,,완벽하고 소쇄한 메이드,The Perfect and Elegant Servant,完全で瀟洒な従者,完美潇洒的女仆,完美潇洒的女仆
Character/IzayoiSakuya_SelectInfo,Text,,"이자요이 사쿠야는 흡혈귀의 저택, 홍마관의 메이드장입니다.
이변을 해결 하는 도중 길을 잃고 방주로 흘러들어온 후, 조사단에 합류하게되었습니다.
그녀의 시간을 다루는 정도의 능력을 십분 활용하여 방주의 살림살이를 도맡아 하고있습니다.

그녀는 핸드카드의 위치를 유연하게 조절할 수있으며, 
상단과 하단에 위치한 스킬의 추가효과를 이용하여 효과적으로 공격합니다.
또한 이 방법을 통해 충분한 자원이 축적되면 적의 시간을 멈출 수 있습니다.","Sakuya Izayoi manipulates cards and time. 

Skills played from the top/bottom of hand trigger bonus effects. Skills can rearrange hand order. 

Accumulate resources through this method to stop enemy time.","十六夜咲夜は手札の時間を操る魔術師である。

手札の一番上または一番下にあるときに追加効果が発動したり、スキルを使用して手札の位置を自由に交換する。

この方法で十分なリソースを得たとき、敵の時間を止めることができる。","十六夜咲夜是玩弄手牌与时间的魔术师。

当手牌在最顶上或最底下能够触发额外效果，能够使用技能灵活变换手牌的位置。

当通过这种方法积攒足够资源后，还能够停止敌人的时间。","十六夜咲夜是玩弄手牌与时间的魔术师。

当手牌在最顶上或最底下能够触发额外效果，能够使用技能灵活变换手牌的位置。

当通过这种方法积攒足够资源后，还能够停止敌人的时间。"
Character/IzayoiSakuya_Text_Battle_Cri_0,Text,,당신의 시간 또한 나의 것.,Your time rests in my hands!,あなたの時間は私の手の中にある！,你的时间由我掌握！,你的时间由我掌握！
Character/IzayoiSakuya_Text_Battle_Idle_0,Text,,오늘 저녁은 장어로 할까……아니，내가 왜 이런생각을 한거지.,"Tonight's dinner will be eel... Wait, why am I thinking that?",今夜の夕食は鰻にしよう…いや、なぜそう思うの。,今夜的晚饭就来做鳗鱼吧……不对，我怎么会这么想呢。,今夜的晚饭就来做鳗鱼吧……不对，我怎么会这么想呢。
Character/IzayoiSakuya_Text_Battle_Kill_0,Text,,"조금 수고스럽더라도, 빨리 칼을 모으지 않으면.....",Must retrieve the knives quickly to avoid leaving traces...,禍根を残さないように、早くナイフを回収しないと……。,人去不留麻烦，不赶快把刀子回收的话……,人去不留麻烦，不赶快把刀子回收的话……
Character/IzayoiSakuya_Text_Battle_Start_0,Text,,"그럼, 장난은 여기까지.","Now, the game ends here.",さて、お楽しみはここで終わりです。,那么，戏耍就到此为止。,那么，戏耍就到此为止。
Character/IzayoiSakuya_Text_Field_Idle_0,Text,,"이런, 곧 차가 끓어오를 시간이야.","Oh dear, the tea is about to boil.",おっと、もうすぐお茶が沸くわね。,哎呀，马上茶要烧开了哦。,哎呀，马上茶要烧开了哦。
Character/IzayoiSakuya_Text_Field_Idle_1,Text,,올 여름은 온통 이변투성이인것 같아.,This summer's weather has been truly peculiar.,今年の夏の天気は本当に変ね。,今年的夏天净是奇怪的天气呢。,今年的夏天净是奇怪的天气呢。
Character/IzayoiSakuya_Text_MasterTarget,Text,,아가씨에게 안부 전해주세요.,Give my regards to the Mistress.,お嬢様によろしくと伝えてください。,替我向大小姐问好。,替我向大小姐问好。
Character/IzayoiSakuya_Text_PharosLeader_0,Text,,네……명령을 이행합니다……,Yes... I obey your command...,はい……あなた様に従います……,是的……悉听遵命……,是的……悉听遵命……
Character/IzayoiSakuya_Text_PharosLeader_1,Text,,"어？………………잠시만 기다려주세요, 곧 시간을 되돌리겠습니다.",Wait a moment... I'll rewind time immediately.,ちょっと待ってください、すぐに時間を戻します。,咦？………………请稍等一下，我马上就将时间倒流。,咦？………………请稍等一下，我马上就将时间倒流。
Character/IzayoiSakuya_Text_PharosLeader_2,Text,,"주인님을 위해, 여기서 죽어주십시오.",Perish here for my master's sake.,我が主のために、ここで犠牲になりなさい。,为了我主，请你在此地牺牲吧。,为了我主，请你在此地牺牲吧。
Character/IzayoiSakuya_Text_Witch_0,Text,,손님을 위해 저주를 청소하는 것도 메이드의 의무 중 하나입니다.,Cleansing curses for guests is part of a maid's duties.,お客様のために呪いの後始末をするのも、メイドの仕事の一つです。,替客人清理诅咒，也是女仆的职责之一。,替客人清理诅咒，也是女仆的职责之一。
Character/IzayoiSakuya_name,Text,,이자요이 사쿠야,Sakuya Izayoi,十六夜咲夜,十六夜咲夜,十六夜咲夜
Character_Skin/IzayoiSakuyaBunny_SkinDesc,Text,,"할로윈이 다가왔습니다.
모든 준비가 끝났습니다.
아가씨, 홍마관, 그리고 저.","Halloween approaches. All preparations complete. The Mistress, Scarlet Devil Mansion, and I.","絢爛豪華なハロウィンパーティーには従者の仮装も不可欠だ、と張り切るレミリアが用意した可憐な衣装。
パーティーでもひときわ目立ち、用意したレミリアもご満悦だったようだ。","万圣节就快到了。
一切准备就绪。
大小姐、红魔馆，还有我。","万圣节就快到了。
一切准备就绪。
大小姐、红魔馆，还有我。"
Character_Skin/IzayoiSakuyaBunny_SkinName,Text,,할로윈 메이드,Halloween Bunny Maid,仮装のメイド長,万圣节兔女仆,万圣节兔女仆
Item_Equip/StopWatch_Description,Text,,"전투당 1회, 빈사상태에서 피해를 입을 시 피해를 무효화합니다.",Negate damage once per battle when HP is 0 or below.,体力が0以下のときにダメージを受けたとき、そのダメージを無効にする。(1回の戦闘で1回のみ発動),每场战斗仅有1次，在体力值为0点及以下的状态下受到伤害时，抵挡该伤害。,每场战斗仅有1次，在体力值为0点及以下的状态下受到伤害时，抵挡该伤害。
Item_Equip/StopWatch_name,Text,,회중시계,Time-Stop Pocketwatch,時を止めた懐中時計,时停怀表,时停怀表
Item_Passive/R_Sakuya_0_Description,Text,,"장착 시, 모든 저주 기술을 제거합니다.","While equipped, remove all Lucy Curse skills.",装備したとき、ルシーのジンクスをすべて除去する。,装备时，移除所有露西诅咒技能。,装备时，移除所有露西诅咒技能。
Item_Passive/R_Sakuya_0_name,Text,,자동 청소기,Auto-Cleaner,自動掃除機,自动扫地机,自动扫地机
SimpleCampDialogue/CampDial_IzayoiSakuya_Azar_Dialogues_0,Text,,"[A]아자르, 이곳의 「시간」에 대해 어떻게 생각하나요?","[A]Azar, do you sense anything unusual about this place's ""time""?",[A]阿扎尔，你对这个地方的「时间」有什么感受吗？,[A]阿扎尔，你对这个地方的「时间」有什么感受吗？,[A]阿扎尔，你对这个地方的「时间」有什么感受吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Azar_Dialogues_1,Text,,"[B]시, 시간?…… 「시계탑」을 말하는 건가요?",[B]T-time? You mean the "Clock Tower"?,[B]时、时间？……是说「钟楼」吗？,[B]时、时间？……是说「钟楼」吗？,[B]时、时间？……是说「钟楼」吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Azar_Dialogues_2,Text,,"[A]아니………… 흠, 그렇군. 됐어, 내가 묻지 않을게.",[A]No... Hmph. Never mind.,[A]不…………哼，这样吗。算了，当我没问。,[A]不…………哼，这样吗。算了，当我没问。,[A]不…………哼，这样吗。算了，当我没问。
SimpleCampDialogue/CampDial_IzayoiSakuya_Blue_Dialogues_0,Text,,[B]당신도 달의 힘을 사용하는 사람인가요?,[B]Do you also wield lunar power?,[B]你也是使用月亮力量的人吗？,[B]你也是使用月亮力量的人吗？,[B]你也是使用月亮力量的人吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Blue_Dialogues_1,Text,,[A]어렵게…… 그런가요?,[A]Reluctantly... I suppose?,[A]勉强……算是吗？,[A]勉强……算是吗？,[A]勉强……算是吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Charon_Dialogues_0,Text,,[B]그 비도 기술! 가르쳐줄 수 있나요?,[B]Teach me that dagger technique!,[B]那个飞刀的功夫！能教教我吗？,[B]那个飞刀的功夫！能教教我吗？,[B]那个飞刀的功夫！能教教我吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Charon_Dialogues_1,Text,,"[A]……이건 기술이 아니에요. 그리고, 칼은 위험해요.",[A]...It's not a technique. And blades are dangerous.,[A]……这不是功夫。而且，刀很危险。,[A]……这不是功夫。而且，刀很危险。,[A]……这不是功夫。而且，刀很危险。
SimpleCampDialogue/CampDial_IzayoiSakuya_Eirin_Dialogues_0,Text,,"[A]불로불사의 약? 죄송하지만, 홍마관에는 필요 없어요.",[A]Elixir of immortality? The Scarlet Devil Mansion isn't interested.,[A]长生不老药？抱歉，红魔馆不需要这种推销。,[A]长生不老药？抱歉，红魔馆不需要这种推销。,[A]长生不老药？抱歉，红魔馆不需要这种推销。
SimpleCampDialogue/CampDial_IzayoiSakuya_Eirin_Dialogues_1,Text,,"[B]아니, 홍마관을 위한 게 아니라 당신을 위해 특별히 준비한 거예요.",[B]This one's specially made for you.,[B]不，不是为了红魔馆，而是为你特制的哦。,[B]不，不是为了红魔馆，而是为你特制的哦。,[B]不，不是为了红魔馆，而是为你特制的哦。
SimpleCampDialogue/CampDial_IzayoiSakuya_Eirin_Dialogues_2,Text,,[A]……왠지 나에게 지나치게 친절해서 수상해요.,[A]...Your enthusiasm feels suspicious.,[A]……总感觉特别对我献殷勤到可疑了。,[A]……总感觉特别对我献殷勤到可疑了。,[A]……总感觉特别对我献殷勤到可疑了。
SimpleCampDialogue/CampDial_IzayoiSakuya_Eirin_Dialogues_3,Text,,"[B]뭐, 언제든 원할 때 찾아오세요.",[B]Let me know if you ever want it~,[B]嘛，什么时候想要的话尽管来找我要吧。,[B]嘛，什么时候想要的话尽管来找我要吧。,[B]嘛，什么时候想要的话尽管来找我要吧。
SimpleCampDialogue/CampDial_IzayoiSakuya_FlandreScarlet_Dialogues_0,Text,,"[A]이아가씨, 케이크 드세요.","[A]Lady Flandre, your cake is served.",[A]二小姐，蛋糕请慢用。,[A]二小姐，蛋糕请慢用。,[A]二小姐，蛋糕请慢用。
SimpleCampDialogue/CampDial_IzayoiSakuya_FlandreScarlet_Dialogues_1,Text,,"[B]사쿠야 사쿠야, 저기 있는 풀고슴도치로 「케이크」를 만들 수 있나요?",[B]Sakuya! Can you make "cake" from that grass hedgehog?,[B]咲夜咲夜，能用那边的草刺猬做「蛋糕」吗？,[B]咲夜咲夜，能用那边的草刺猬做「蛋糕」吗？,[B]咲夜咲夜，能用那边的草刺猬做「蛋糕」吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_FlandreScarlet_Dialogues_2,Text,,[A]음? 비추천하지만…… 다음에 시도해볼게요.,[A]Hmm... Not recommended. But I'll try next time.,[A]嗯？虽然不推荐……不过下次我会试试的。,[A]嗯？虽然不推荐……不过下次我会试试的。,[A]嗯？虽然不推荐……不过下次我会试试的。
SimpleCampDialogue/CampDial_IzayoiSakuya_Hein_Dialogues_0,Text,,"[B]전투할 때 칼로 이리저리 긁는 거, 답답해.",[B]Quit poking around with knives! Just CHOP! SLASH!,[B]战斗的时候用小刀划来划去的，磨叽死了。,[B]战斗的时候用小刀划来划去的，磨叽死了。,[B]战斗的时候用小刀划来划去的，磨叽死了。
SimpleCampDialogue/CampDial_IzayoiSakuya_Hein_Dialogues_1,Text,,[B]그냥 통쾌하게 베고! 썰고! 자르면 안 되나요?,[B]Where's the fun in delicate knife work?,[B]就不能痛痛快快地劈！砍！切！吗？,[B]就不能痛痛快快地劈！砍！切！吗？,[B]就不能痛痛快快地劈！砍！切！吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Hein_Dialogues_2,Text,,"[A]스튜가 다 됐어요, 먹을래요?",[A]Stew's ready. Want some?,[A]炖菜做好了，要吃吗？,[A]炖菜做好了，要吃吗？,[A]炖菜做好了，要吃吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Hein_Dialogues_3,Text,,[B]……고마워요.,[B]...Thanks.,[B]……谢谢。,[B]……谢谢。,[B]……谢谢。
SimpleCampDialogue/CampDial_IzayoiSakuya_Huz_Dialogues_0,Text,,"[B]채찍, 비도, 뱀파이어…… 으, 머리가……",[B]Whips... daggers... vampires... My head hurts...,[B]鞭子、飞刀、吸血鬼……呜，我的头……,[B]鞭子、飞刀、吸血鬼……呜，我的头……,[B]鞭子、飞刀、吸血鬼……呜，我的头……
SimpleCampDialogue/CampDial_IzayoiSakuya_Huz_Dialogues_1,Text,,[A]게임 좀 덜 하세요.,[A]Play fewer video games.,[A]少玩点电子游戏吧。,[A]少玩点电子游戏吧。,[A]少玩点电子游戏吧。
SimpleCampDialogue/CampDial_IzayoiSakuya_Ilya_Dialogues_0,Text,,[A]정말 아름다운 칼솜씨네요.,[A]Your blade work is exquisite.,[A]真是漂亮的刀法。,[A]真是漂亮的刀法。,[A]真是漂亮的刀法。
SimpleCampDialogue/CampDial_IzayoiSakuya_Ilya_Dialogues_1,Text,,"[B]아니아니, 아직 멀었어요……",[B]I still have much to learn...,[B]哪里哪里、还差得远呢……,[B]哪里哪里、还差得远呢……,[B]哪里哪里、还差得远呢……
SimpleCampDialogue/CampDial_IzayoiSakuya_Iron_Dialogues_0,Text,,[B]제 갑옷의 틈을 노리지 말아주세요.,[B]Stop eyeing the gaps in my armor!,[B]请不要用视线瞄准我盔甲的缝隙好吗。,[B]请不要用视线瞄准我盔甲的缝隙好吗。,[B]请不要用视线瞄准我盔甲的缝隙好吗。
SimpleCampDialogue/CampDial_IzayoiSakuya_Iron_Dialogues_1,Text,,"[A]죄송해요, 제 나쁜 습관이에요……",[A]Apologies... Bad habit.,[A]抱歉，这是我的坏习惯……,[A]抱歉，这是我的坏习惯……,[A]抱歉，这是我的坏习惯……
SimpleCampDialogue/CampDial_IzayoiSakuya_Joey_Dialogues_0,Text,,[B]야! 내 빈 병 다 어디다 둔 거야?,[B]Hey! Did you take my empty bottles?,[B]喂！你是不是把我的空瓶子都收起来了？,[B]喂！你是不是把我的空瓶子都收起来了？,[B]喂！你是不是把我的空瓶子都收起来了？
SimpleCampDialogue/CampDial_IzayoiSakuya_Joey_Dialogues_1,Text,,"[A]네, 거기에 두면 위험해서요.",[A]Yes. Too dangerous left around.,[A]是的，放在那里太危险了。,[A]是的，放在那里太危险了。,[A]是的，放在那里太危险了。
SimpleCampDialogue/CampDial_IzayoiSakuya_Joey_Dialogues_2,Text,,[B]아아아! 그건 중요한 실험 자료야!!!,[B]Those were IMPORTANT EXPERIMENTS!!!,[B]啊啊啊！那是重要的实验资料啊！！！,[B]啊啊啊！那是重要的实验资料啊！！！,[B]啊啊啊！那是重要的实验资料啊！！！
SimpleCampDialogue/CampDial_IzayoiSakuya_Johan_Dialogues_0,Text,,"[B]잠깐, 제발, 너희들 그 앨리스 이야기 더 이상 하지 마.",[B]Please stop telling me about your Alice!,[B]等下，算我求你，别再跟我讲你们那儿那个爱丽丝的事情了。,[B]等下，算我求你，别再跟我讲你们那儿那个爱丽丝的事情了。,[B]等下，算我求你，别再跟我讲你们那儿那个爱丽丝的事情了。
SimpleCampDialogue/CampDial_IzayoiSakuya_Johan_Dialogues_1,Text,,[A]……그들이 너한테 뭘 말한 거야?,[A]...What exactly did they say?,[A]……她们到底对你说了什么？,[A]……她们到底对你说了什么？,[A]……她们到底对你说了什么？
SimpleCampDialogue/CampDial_IzayoiSakuya_Lian_Dialogues_0,Text,,"[B]사쿠야, 너 칼 쓰는 기술 어디서 배웠어?","[B]Sakuya, where'd you learn knife skills?",[B]咲夜，你用刀的技术是从哪里学的？,[B]咲夜，你用刀的技术是从哪里学的？,[B]咲夜，你用刀的技术是从哪里学的？
SimpleCampDialogue/CampDial_IzayoiSakuya_Lian_Dialogues_1,Text,,[A]독학이에요. 뭐 문제라도?,[A]Self-taught. Why?,[A]算是自学吧。有什么问题吗？,[A]算是自学吧。有什么问题吗？,[A]算是自学吧。有什么问题吗？
SimpleCampDialogue/CampDial_IzayoiSakuya_Lian_Dialogues_2,Text,,"[B]칼 잡는 방법, 좀 더 개선할 수 있어. 이렇게.",[B]Adjust your grip. Like this.,[B]握住刀的方法，稍微可以再改进一下。就像这样。,[B]握住刀的方法，稍微可以再改进一下。就像这样。,[B]握住刀的方法，稍微可以再改进一下。就像这样。
SimpleCampDialogue/CampDial_IzayoiSakuya_Miss_Dialogues_0,Text,,"[A]전기톱 아가씨, 제가 상처를 감싸줄게요.","[A]Chainsaw Miss, let me bandage that.",[A]链锯小姐，我来为你包扎。,[A]链锯小姐，我来为你包扎。,[A]链锯小姐，我来为你包扎。
