Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Skill/S_FAlice_0_Description,Text,,,"Choose:

- Trigger all countdown 'Doll' effects once.

- Spend 1 additional cost to increase all countdown 'Doll' multipliers by &a (20% of Attack Power), &b (20% of Healing Power), or &c (20% of DEF), or inflicts 1 more stack of debuffs.

- Select 1 countdown 'Doll', move it to the discard pile, draw 2 skills, and recover 3 Mana.

- Randomly generate 1 'Doll' in hand.",,"选择：
- 使所有倒计时中的「人形」触发一次效果。
- 额外消耗 1 点费用，使所有倒计时中的「人形」倍率提升&a (攻击力的20%)或&b(治疗力的20%)或&c(防御力的20%)，或使叠加的减益增加 1 层。
- 选择 1 个倒计时中的「人形」，将其置入弃牌库，并抽取 2 个技能、恢复 3 点法力值。
- 在手中随机生成 1 个「人形」。",
Skill/S_FAlice_0_Name,Text,,,Puppeteer Sign "Manipulate Puppet",,操符「操纵人形」,
Skill/S_FAlice_1_Description,Text,,,"While this skill is in countdown, grants &user '+1 Attack Power'.
On trigger, deals damage to a random enemy.
Every 3 triggers, the next trigger deals damage to all enemies instead.",,"这个技能处于倒计时中时，为&user提供“攻击力 +1”。
触发时，对随机敌人造成一次伤害。
每触发 3 次后，下 1 次触发改为对所有敌人造成伤害。",
Skill/S_FAlice_1_Name,Text,,,Malediction "Magically Luminous Shanghai Dolls",,诅咒「魔彩光的上海人形」,
Skill/S_FAlice_2_Description,Text,,,"While this skill is in countdown, grants &user '+1 Healing Power'.
On trigger, heals the most injured ally once.
Every 3 triggers, the next trigger heals all allies instead.",,"这个技能处于倒计时中时，为&user提供“治疗力 +1”。
触发时，对体力值最低的、已受伤的友军治疗一次。
每触发 3 次后，下 1 次触发改为对所有友军造成治疗。",
Skill/S_FAlice_2_Name,Text,,,Blue Sign "Fraternal French Dolls",,苍符「博爱的奥尔良人形」,
Skill/S_FAlice_3_Description,Text,,,"While this skill is in countdown, grants &user '+4% DEF'.
On trigger, inflicts &d stacks of <sprite=0> 'Doll Obstruction' debuff (100% <sprite=0> success rate) on a random enemy for 5 turns.
Every 3 triggers, the next trigger also grants &user a Party Barrier (60% DEF) and gives all allies 'Healing Gauge Protected' for 2 turns.",,"这个技能处于倒计时中时，为&user提供“防御力 +4%”。
触发时，对随机敌人施加 &d 层<sprite=0>“人偶阻碍”减益(100%<sprite=0>成功率)，持续 5 回合。
每触发 3 次后，下 1 次触发还会获得&a防护墙(80%防御力)，并使所有友军获得“保护体力极限”，持续 2 回合。",
Skill/S_FAlice_3_Name,Text,,,White Sign "Chalk-White Russian Dolls",,白符「白垩的俄罗斯人形」,
Skill/S_FAlice_4_Description,Text,,,"While this skill is in countdown, grants &user '-1 Speed'.
On trigger, grants all allies '+25% Critical Hit Chance, +25% Critical Damage' for 1 turn.
Every 3 triggers, the next trigger also grants all allies '+1 Attack Power.'",,"这个技能处于倒计时中时，为&user提供“速度 -1”。
触发时，使所有友军获得“暴击率 +25%、暴击伤害 +25%”，持续 1 回合。
每触发 3 次后，下 1 次触发还会使所有友军获得“攻击力 +1”。",
Skill/S_FAlice_4_Name,Text,,,Scarlet Sign "Red-Haired Dutch Dolls",,红符「红发的荷兰人形」,
Skill/S_FAlice_5_Description,Text,,,"While this skill is in countdown, grants &user '+1 Speed'.
On trigger, inflicts &d stacks of <sprite=1> 'Doll Stab' debuff (100% <sprite=1> success rate) on a random enemy for 5 turns.
Every 3 triggers, the next trigger also reduces the cost of the next fixed ability by 1 for all allies.",,"这个技能处于倒计时中时，为&user提供“速度 +1”。
触发时，对随机敌人施加 &d 层<sprite=1>“人偶刺伤”减益(100%<sprite=1>成功率)，持续 5 回合。
每触发 3 次后，下 1 次触发还会使所有友军获得“下 1 个固定能力费用降低 1 点”。",
Skill/S_FAlice_5_Name,Text,,,Darkness Sign "Foggy London Dolls",,暗符「雾之伦敦人形」,
Skill/S_FAlice_6_0_Description,Text,,,Select 1 "Doll" skill and trigger it twice immediately.,,选择 1 个「人形」技能，立即触发 2 次。,
Skill/S_FAlice_6_0_Name,Text,,,Trigger,,触发,
Skill/S_FAlice_6_1_Description,Text,,,Select 1 "Doll" skill and enhance-trigger it once immediately.,,选择 1 个「人形」技能，立即强化触发 1 次。,
Skill/S_FAlice_6_1_Name,Text,,,Enhance Trigger,,强化触发,
Skill/S_FAlice_6_Description,Text,,,"Choose:

- Select 1 'Doll' skill and trigger it twice immediately.

- Select 1 'Doll' skill and enhance-trigger it once immediately.",,"选择：
- 选择 1 个「人形」技能，立即触发 2 次。
- 选择 1 个「人形」技能，立即强化触发 1 次。",
Skill/S_FAlice_6_Name,Text,,,Doll "Futuristic Bunraku",,人偶「未来文乐」,
Skill/S_FAlice_7_0_Description,Text,,,Randomly generate 2 different "Doll" skills in hand.,,在手中随机生成 2 个不同的「人形」技能。,
Skill/S_FAlice_7_0_Name,Text,,,Random Generate,,随机生成,
Skill/S_FAlice_7_1_Description,Text,,,Generate 1 specified "Doll" skill in hand.,,在手中生成 1 个指定的「人形」技能。,
Skill/S_FAlice_7_1_Name,Text,,,Specified Generate,,指定生成,
Skill/S_FAlice_7_Description,Text,,,"Choose:

- Randomly generate 2 different 'Doll' skills in hand.

- Generate 1 specified 'Doll' skill in hand.",,"选择：
- 在手中随机生成 2 个不同的「人形」技能。
- 在手中生成 1 个指定的「人形」技能。",
Skill/S_FAlice_7_Name,Text,,,War Sign "Little Legion",,战符「小小军势」,
Skill/S_FAlice_8_0_Description,Text,,,Select 1 "Doll" skill and move it to the discard pile.,,选择 1 个「人形」技能，将其置入弃牌库。,
Skill/S_FAlice_8_0_Name,Text,,,Discard Doll,,丢弃人偶,
Skill/S_FAlice_8_1_Description,Text,,,Randomly discard 2 skills from hand.,,随机丢弃手中 2 个技能。,
Skill/S_FAlice_8_1_Name,Text,,,Discard Hand,,丢弃手牌,
Skill/S_FAlice_8_Description,Text,,,"Choose:

- Select 1 'Doll' skill and move it to the discard pile.

- Randomly discard 2 skills from hand.",,"选择：
- 选择 1 个「人形」技能，将其置入弃牌库。
- 随机丢弃手中 2 个技能。",
Skill/S_FAlice_8_Name,Text,,,Focus Power "Trip Wire",,聚焦「绊线」,
Skill/S_FAlice_LucyDraw_Description,Text,,,"Draw 2 skills.
Randomly generate 1 'Doll' skill in hand and reduce its cost to 0.",,"抽取 2 个技能。
在手中随机生成 1 个「人形」技能，并使其费用转变为 0。",
Skill/S_FAlice_LucyDraw_Name,Text,,,Doll "Semi-Automaton",,人偶「半自主人偶」,
Skill/S_FAlice_Rare_1_Name,Text,,,War Command "Dolls' War",,战操「玩偶战争」,
Skill/S_FAlice_Rare_2_Description,Text,,,Triggers all 'Doll' skills 3 times and enhance-triggers them once.,,使所有「人形」技能立即触发 3 次、强化触发 1 次。,
Skill/S_FAlice_Rare_2_Name,Text,,,Lance Sign "Cutie Phalanx",,枪符「萌萌大千枪」,
Skill/S_FAlice_Rare_3_0_Description,Text,,,"While this skill is in countdown, grants &user '+5 Attack Power, +5 Healing Power, +10 max HP, +40% Critical Hit Chance, +40% Evade, +80% Faint Resist'.
While this skill is in countdown, other 'Doll' skills instead restore 1 Mana and draw 1 skill.
On trigger, deals damage to all enemies.
Every 3 triggers, the next trigger deals &a damage to all enemies. Then, banish this skill.",,"这个技能处于倒计时中时，为&user提供“+5攻击力，+5治疗力，+10最大体力值，+40%暴击率，+40%闪避率，+80%无法战斗抵抗”。
这个技能处于倒计时中时，使其他「人形」技能的效果变为：恢复 1 点法力值并抽取 1 个技能。
触发时，对所有敌人造成一次伤害。
每触发 3 次后，下 1 次触发改为对所有敌人造成 &a 伤害。然后将这个技能放逐。",
Skill/S_FAlice_Rare_3_0_Name,Text,,,Testing "Goliath Doll",,试验中「歌莉娅人形」,
Skill/S_FAlice_Rare_3_Description,Text,,,"Move all countdown 'Doll' skills to the discard pile.
Add 1 'Experiment ""Goliath Doll""' into Counting.",,"将所有倒计时中的「人形」技能置入弃牌库。
将 1 个“试验中「歌莉娅人形」”加入倒计时栏。",
Skill/S_FAlice_Rare_3_Name,Text,,,Last Sign "Bizarre Puppet Theater Meteor Shower",,终符「猎奇剧团座流星雨」,
SkillExtended/SE_FAlice_C_0_EnforceString,Text,,,,,,
SkillExtended/SE_FAlice_C_0_Name,Text,,,Randomly generate 1 'Doll' skill in hand and reduce its cost to 0.,,若爱丽丝存活，在手中随机生成 1 个「人形」技能，并使其费用转变为 0。,
SkillExtended/SE_FAlice_C_1_Des,Text,,,,,,
SkillExtended/SE_FAlice_C_1_EnforceString,Text,,,<sprite name="비용2"><sprite name="이상">,,<sprite name="비용2"><sprite name="이상">,
SkillExtended/SE_FAlice_C_1_Name,Text,,,"Increase all countdown ""Doll"" multipliers by &a (20% of Attack Power), &b (20% of Healing Power), or &c (20% of DEF).",,使所有倒计时中的「人形」倍率提升&a (攻击力的20%)或&b(治疗力的20%)或&c(防御力的20%)，或使叠加的减益增加 1 层。,
