Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Item_Equip/E_Feiyap_1_Description,Text,,"각 턴 종료 시, 해당 장비가 제공하는 속성 -5%/-5%/-5%.
흑안 턴이 도래하면 장비 속성이 초기화됩니다.

<color=#919191><i>잃어버린 용기를 다시금 북돋우다.</i></color>","At the end of each turn, the equipment provides -5%/-5%/-5% to attributes.
Upon reaching Black Fog, equipment attributes reset.

<color=#919191><i>Regain lost courage.</i></color>","各ターン終了時、この装備が提供するステータスが-5%/-5%/-5%される。
黒霧ターン到来時、装備ステータスがリセットされる。

<color=#919191><i>失った勇気を再び奮い立たせる。</i></color>","每个回合结束时，该装备提供的属性-5%/-5%/-5%。
黑雾回合到来时，装备属性重置。

<color=#919191><i>再次鼓起失去的勇气。</i></color>","回合結束時，該裝備提供的屬性-5%/-5%/-5%。
黑霧回合到來時，裝備屬性重置。

<color=#919191><i>再次鼓起失去的勇氣。</i></color>"
Item_Equip/E_Feiyap_1_name,Text,,소울 부스터,Soul Booster,鎮魂石,镇魂石,
SimpleCampDialogue/CampDia_Feiyap_Azar_Dialogues_0,Text,,,,,[A]为什么你能生成幻影剑？那到底是什么原理？,
SimpleCampDialogue/CampDia_Feiyap_Azar_Dialogues_1,Text,,,,,[B]幻影之刃的事情，你不需要搞得太清楚。,
SimpleCampDialogue/CampDia_Feiyap_Caron_Dialogues_0,Text,,,,,[A]没错，卡伦，就是这样，用暗黑魔法侵蚀我的性命……,
SimpleCampDialogue/CampDia_Feiyap_Caron_Dialogues_1,Text,,,,,[B]……总感觉，非常让人提不起劲啊。,
SimpleCampDialogue/CampDia_Feiyap_Control_Dialogues_0,Text,,,,,[A]心理术士？听起来真时髦啊。,
SimpleCampDialogue/CampDia_Feiyap_Control_Dialogues_1,Text,,,,,[B]呵呵，沽名钓誉罢了。比不上你们这些武士啊。,
SimpleCampDialogue/CampDia_Feiyap_Control_Dialogues_2,Text,,,,,[A]呵呵……如今只是一介无处可去的浪人罢了。,
SimpleCampDialogue/CampDia_Feiyap_Hein_Dialogues_0,Text,,,,,[B]……,
SimpleCampDialogue/CampDia_Feiyap_Hein_Dialogues_1,Text,,,,,[A]为什么这么安静？难道不想互相厮杀一场吗？,
SimpleCampDialogue/CampDia_Feiyap_Hein_Dialogues_2,Text,,,,,[B]……不了，我不跟疯子打架……,
SimpleCampDialogue/CampDia_Feiyap_Hein_Dialogues_3,Text,,,,,[A]？,
SimpleCampDialogue/CampDia_Feiyap_Huz_Dialogues_0,Text,,,,,[A]哈啊……卉子小姐，就是那边，请再用力一点……,
SimpleCampDialogue/CampDia_Feiyap_Huz_Dialogues_1,Text,,,,,[B]我只是在帮你治疗而已耶？！,
SimpleCampDialogue/CampDia_Feiyap_Huz_Dialogues_2,Text,,,,,[A]这种让人快要窒息过去的治疗真是太美妙了……,
SimpleCampDialogue/CampDia_Feiyap_Ilya_Dialogues_0,Text,,,,,[B]你……你别过来，你想干什么？！,
SimpleCampDialogue/CampDia_Feiyap_Ilya_Dialogues_1,Text,,,,,[A]在下听说您是役使太刀的高手。特此前来向您发起死斗挑战……,
SimpleCampDialogue/CampDia_Feiyap_Ilya_Dialogues_2,Text,,,,,[B]噫噫——不要靠近我啊啊啊！！！,
SimpleCampDialogue/CampDia_Feiyap_Joey_Dialogues_0,Text,,,,,[B]……粗鲁的家伙……,
SimpleCampDialogue/CampDia_Feiyap_Joey_Dialogues_1,Text,,,,,[A]嗯？乔师傅，你刚刚说了什么吗？,
SimpleCampDialogue/CampDia_Feiyap_Joey_Dialogues_2,Text,,,,,[B]乔、乔师傅？！……嗯，你人还挺不错的嘛！,
SimpleCampDialogue/CampDia_Feiyap_Joey_Dialogues_3,Text,,,,,[A]……？是……这样吗……？,
SimpleCampDialogue/CampDia_Feiyap_Leryn_Dialogues_0,Text,,,,,[A]研究所的吗……放心吧，我会保护你的。,
SimpleCampDialogue/CampDia_Feiyap_Leryn_Dialogues_1,Text,,,,,[B]不用你这个进攻职业来啦！,
SimpleCampDialogue/CampDia_Feiyap_Lian_Dialogues_0,Text,,,,,[B]喂！你那种战斗方式很危险！,
SimpleCampDialogue/CampDia_Feiyap_Lian_Dialogues_1,Text,,,,,[A]啊啊……教官为了保护队友而奋不顾身的耀眼身姿……,
SimpleCampDialogue/CampDia_Feiyap_Lian_Dialogues_2,Text,,,,,[B]喂，你有在听吗？！,
SimpleCampDialogue/CampDia_Feiyap_Mement_Dialogues_0,Text,,,,,[A]弓箭吗……真是令人怀念的武器啊。,
SimpleCampDialogue/CampDia_Feiyap_Mement_Dialogues_1,Text,,,,,[B]怎么，你也曾学过弓箭吗？,
SimpleCampDialogue/CampDia_Feiyap_Mement_Dialogues_2,Text,,,,,[A]在我们那个乱世，不精通所有武器的话马上就会死掉的哦。,
SimpleCampDialogue/CampDia_Feiyap_MissChainh_Dialogues_0,Text,,,,,[A]用链锯战斗的话，不觉得很危险吗？,
SimpleCampDialogue/CampDia_Feiyap_MissChainh_Dialogues_1,Text,,,,,[B]就是这样所以才刺激呀！你不这么觉得吗？,
SimpleCampDialogue/CampDia_Feiyap_MissChainh_Dialogues_2,Text,,,,,[A]武士应当死于敌手，而并非……,
SimpleCampDialogue/CampDia_Feiyap_Momori_Dialogues_0,Text,,,,,[A]桃梨妹妹，你这样战斗可是很危险的哦？,
SimpleCampDialogue/CampDia_Feiyap_Momori_Dialogues_1,Text,,,,,[B]唯独不想被你这家伙这么说耶……,
SimpleCampDialogue/CampDia_Feiyap_Phoenix_Dialogues_0,Text,,,,,[A]不死的凤凰啊……,
SimpleCampDialogue/CampDia_Feiyap_Phoenix_Dialogues_1,Text,,,,,[B]没错没错！尽管膜拜我、尊敬我，为我献上面包吧！,
SimpleCampDialogue/CampDia_Feiyap_Phoenix_Dialogues_2,Text,,,,,[A]但是不死鸟和凤凰不是两种东西吗？,
SimpleCampDialogue/CampDia_Feiyap_Phoenix_Dialogues_3,Text,,,,,[B]……咦耶？,
SimpleCampDialogue/CampDia_Feiyap_Priest_Dialogues_0,Text,,,,,"[B]这位小姐，您有兴趣听一下我们伟大的神吗？	",
SimpleCampDialogue/CampDia_Feiyap_Priest_Dialogues_1,Text,,,,,[A]啊，抱歉，我是无神论者。,
SimpleCampDialogue/CampDia_Feiyap_Priest_Dialogues_2,Text,,,,,[B]……能请问一下是为什么吗？,
SimpleCampDialogue/CampDia_Feiyap_Priest_Dialogues_3,Text,,,,,[A]因为我的神早已被我亲手杀死。,
SimpleCampDialogue/CampDia_Feiyap_Prime_Dialogues_0,Text,,,,,[B]放心吧！有我在，你们绝对不会受伤！,
SimpleCampDialogue/CampDia_Feiyap_Prime_Dialogues_1,Text,,,,,[A]倒是让我受点伤啊……,
SimpleCampDialogue/CampDia_Feiyap_SilverStein_Dialogues_0,Text,,,,,[B]你要自顾自往前冲我管不着，可别把我们一起害死了。,
SimpleCampDialogue/CampDia_Feiyap_SilverStein_Dialogues_1,Text,,,,,[A]呵呵呵……放心，我是不会轻易倒下的……,
SimpleCampDialogue/CampDia_Feiyap_Sizz_Dialogues_0,Text,,,,,[B]前辈！请你不要再故意受伤了好吗？！,
SimpleCampDialogue/CampDia_Feiyap_Sizz_Dialogues_1,Text,,,,,[A]血肉被割开的感觉……难道不觉得令人着迷吗，西斯？,
SimpleCampDialogue/CampDia_Feiyap_Sizz_Dialogues_2,Text,,,,,[B]那种事，有什么好着迷的……？,
SimpleCampDialogue/CampDia_Feiyap_Sizz_Dialogues_3,Text,,,,,[A]没有这种被切开的觉悟的话，是没法轻易地拔刀斩人的喔？,
SimpleCampDialogue/CampDia_Feiyap_TWBlue_Dialogues_0,Text,,,,,[B]那、那个，你的刀，很好看……,
SimpleCampDialogue/CampDia_Feiyap_TWBlue_Dialogues_1,Text,,,,,[A]真的吗？谢谢你，小蓝！,
SimpleCampDialogue/CampDia_Feiyap_TWBlue_Dialogues_2,Text,,,,,[B]（……小蓝？！）,
SimpleCampDialogue/CampDia_Feiyap_TWRed_Dialogues_0,Text,,,,,[B]不要总是拿着那种废铁挥来挥去的啦！来试试魔法吧，怎么样？！,
SimpleCampDialogue/CampDia_Feiyap_TWRed_Dialogues_1,Text,,,,,[A]你说……这是……废铁？,
SimpleCampDialogue/CampDia_Feiyap_TWRed_Dialogues_2,Text,,,,,[B]（呜哇……好恐怖……她的眼神好恐怖……！）,
SimpleCampDialogue/CampDia_Feiyap_Trisha_Dialogues_0,Text,,,,,[B]你身上好重的血腥味。你到底是……,
SimpleCampDialogue/CampDia_Feiyap_Trisha_Dialogues_1,Text,,,,,[A]啊，特丽莎，我刚刚宰了只兔子，要不要一起来吃？,
SimpleCampDialogue/CampDia_Feiyap_Trisha_Dialogues_2,Text,,,,,[B]……算了。没什么。,
Skill/S_Feiyap_0_Description,Text,,보호 상태일 경우 &a 피해(공격력의 50%)를 추가로 입힘<BR>그렇지 않으면 ‘칼날처럼 흐르는 피’ 1중첩을 추가로 획득함,"If the owner has Healing Gauge Protection, deals additional &a damage (50% of Attack Power).
Otherwise, gains 1 additional stack of 'Bleed Like Flowing Blades'.","自身に回復ゲージ保護が存在する場合、&aの追加ダメージ<color=#FF7A33>(攻撃力の50%)</color>を与える。
そうでない場合、さらに「血は刃の如し」を1層獲得する。","若自身拥有保护体力极限，额外造成&a点伤害<color=#FF7A33>(攻击力的50%)</color>。
否则额外获得 1 层“血似刃流”。","若自身有保護體力極限，則造成&a點額外傷害<color=#FF7A33>(攻擊力的50%)</color>。
若沒有保護體力極限，則多獲得 1 層血似刃流增益。"
Skill/S_Feiyap_0_Name,Text,,비야 유파 - 일식,Feiyap Style - First Form,緋夜流・壱の型,绯夜流·一式,緋夜流·一式
Skill/S_Feiyap_1_Description,Text,,보호 상태일 경우 대상의 2x 고통 피해량만큼 추가 피해를 입힘<BR>그렇지 않으면 ‘내면의 불꽃’ 1중첩을 추가로 부여함,"If the owner has Healing Gauge Protection, deals additional Pain damage equal to double the target's Pain damage per turn.
Otherwise, applies 1 additional stack of 'Burning Within'.","自身に回復ゲージ保護が存在する場合、対象に苦痛ダメージを2回与える。ダメージ量は対象が所持する<b>苦痛効果の継続ダメージ</b>に等しい。
そうでない場合、さらに「体内灼焼」を1層付与する。","若自身拥有保护体力极限，对目标造成 2 次痛苦伤害，伤害量等于目标持有的减益的每回合伤害量。
否则额外施加 1 层“体内灼烧”。","若自身有保護體力極限，則根據目標持有的每回合減益傷害量的 2 倍，造成額外的痛苦傷害。
若沒有保護體力極限，則多施加 1 層體內灼燒減益。"
